Context,English
enemy_blobtar,Growth
item_tar,Tar
item_tar_description,A sticky lump of tar
piece_crystalwall1x1,Crystal wall 1x1
piece_bathtub,Hot tub
piece_darkwoodbeam,Darkwood beam 2m
piece_darkwoodbeam4,Darkwood beam 4m
piece_darkwoodpole,Darkwood pole 2m
piece_darkwoodpole4,Darkwood pole 4m
piece_darkwoodraven,Raven adornment
piece_darkwoodwolf,Wolf adornment
piece_darkwoodroof26,Shingle roof 26°
piece_darkwoodroof45,Shingle roof 45°
piece_darkwoodrooficorner,Shingle roof i-corner 26°
piece_darkwoodrooficorner45,Shingle roof i-corner 45°
piece_darkwoodroofocorner,Shingle roof o-corner 26°
piece_darkwoodroofocorner45,Shingle roof o-corner 45°
piece_darkwoodrooftop,Shingle roof ridge 26°
piece_darkwoodrooftop45,Shingle roof ridge 45°
piece_darkwoodarch,Darkwood arch
piece_chestblackmetal,Black metal chest
piece_cookingstation_iron,Iron cooking station
piece_cauldron_ext1_spice,Spice rack
piece_cauldron_ext3_butchertable,Butcher's table
piece_cauldron_ext4_pans,Pots and pans
piece_oven,Stone oven
piece_oven_additem,Bake item
piece_woodwallroof_upsidedown,Wood wall 26° (inverted)
piece_woodwallroof45_upsidedown,Wood wall 45° (inverted)
piece_woodwindowshutter,Wood shutter
piece_woodwallquarter,Wood wall 1x1
piece_woodfinestack,Fine wood stack
piece_woodcorestack,Core wood stack
piece_treasure_pile,Coin pile
piece_treasure_stack,Coin stack
piece_chesttreasure,Treasure chest
piece_darkwooddecowall,Carved Darkwood divider
piece_woodlog26,Log beam 26°
piece_woodlog45,Log beam 45°
piece_ironfloor,Cage floor 2x2
piece_ironwall,Cage wall 2x2
item_boar_meat,Boar meat
item_boar_meat_description,
item_boar_meat_cooked,Cooked boar meat
item_boar_meat_cooked_description,An earthly taste.
item_wolf_meat,Wolf meat
item_wolf_meat_description,
item_wolf_meat_cooked,Cooked wolf meat
item_wolf_meat_cooked_description,A wild taste.
item_deer_meat,Deer meat
item_deer_meat_description,
item_deer_meat_cooked,Cooked deer meat
item_deer_meat_cooked_description,All that running paid off.
item_boarjerky,Boar jerky
item_boarjerky_description,Lean and salty.
item_blacksoup,Black soup
item_blacksoup_description,A perfect balance of sweetness and acidity.
item_eyescream,Eyescream
item_eyescream_description,Crispy cool and creamy.
item_shocklatesmoothie,Muckshake
item_shocklatesmoothie_description,Wakes you up!
item_deerstew,Deer stew
item_deerstew_description,Fall-apart tender.
item_onionsoup,Onion soup
item_onionsoup_description,Deliciously rich.
item_wolfjerky,Wolf jerky
item_wolfjerky_description,Chewy and full of flavor.
item_wolf_skewer,Wolf skewer
