"Context","English","Swedish","French","Italian","German","Spanish","Russian","Romanian","Bulgarian","Macedonian","Finnish","Danish","Norwegian","Icelandic","Turkish","Lithuanian","Czech","Hungarian","Slovak","Polish","Dutch","Portuguese_European","Portuguese_Brazilian","Chinese","Chinese_Trad","Japanese","Korean","Hindi","Thai","Abenaki","Croatian","Georgian","Greek","Serbian","Ukrainian","Latvian"
"language_english","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","English",""
"language_swedish","Svenska*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Svenska*",""
"language_french","Français","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Français",""
"language_italian","Italiano*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Italiano*",""
"language_german","Deutsch","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Deutsch",""
"language_spanish","Español","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Español",""
"language_russian","Русский","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Русский",""
"language_romanian","Romanian*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Romanian*",""
"language_bulgarian","български*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","български*",""
"language_macedonian","македонски*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","македонски*",""
"language_finnish","Suomi*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Suomi*",""
"language_danish","Dansk*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Dansk*",""
"language_icelandic","íslenska*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","íslenska*",""
"language_turkish","Türkçe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Türkçe",""
"language_lithuanian","Lietuvių kalba*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Lietuvių kalba*",""
"language_czech","Čeština*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Čeština*",""
"language_hungarian","Magyar*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Magyar*",""
"language_polish","Polski","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Polski",""
"language_dutch","Nederlands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Nederlands",""
"language_greek","Ελληνικά*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Ελληνικά*",""
"language_ukrainian","українська","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Українська",""
"language_portuguese_european","Português europeu*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Português europeu*",""
"language_portuguese_brazilian","Português (Brasil)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Português (Brasil)",""
"language_chinese","简体中文","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","中文",""
"language_chinese_trad","繁體中文","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"language_japanese","日本語","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","日本語",""
"language_korean","한국어","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","한국어 (불완전한)",""
"language_norwegian","Norsk*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Norsk*",""
"language_slovak","Slovenčina*","","","","","","","","","","","","","","","","","","","","","","Eslovaco","","","","","","","","","","","","Slovenčina*",""
"language_thai","ไทย*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ไทย*",""
"language_estonian","Estonian*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"language_abenaki","Alnôbaôdwawôgan*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"language_croatian","Croatian*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"language_georgian","ქართული*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"language_serbian","Serbian*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"language_hindi","हिन्दी*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"language_latvian","Latviski*","Lettiska*","","","","","","","","","","Lettisk*","Latvisk*","","","","","Latviski*","","","","","","","","","","","","","","","","","Latviski*",""
"menu_startgame","Start Game","Starta spelet","Lancer une partie","Inizia il gioco","Spiel starten","Empezar partida","Начать игру","Joc nou","Старт","Започни игра","Aloita peli","Start spillet","Start spill","Hefja leik","Oyuna Başla","Pradėti žaidimą","Začít hru","Játék indítása","Začať Hru","Rozpocznij grę","Start Spel","Começar o jogo","Iniciar Jogo","开始游戏","開始遊戲","ゲーム開始","게임 시작","शुरू करें","เริ่มเกม","Môja bapi","Započni Igru","თამაშის დაწყება","Έναρξη Παιχνιδιού","Započni igru","Розпочати","Sākt spēli"
"menu_joingame","Join Game","Anslut till spel","Rejoindre une partie","Unisciti al gioco","Spiel beitreten","Unirse a la partida","Присоединиться к игре","Alătura-te unui joc","Онлайн","Влези во игра","Liity peliin","Deltag i spillet","Bli med i spill","Tengjast leik","Oyuna Katıl","Prisijungti prie žaidimo","Připojit se do hry","Csatlakozás játékhoz","Pripojiť sa do Hry","Dołącz do gry","Aansluiten bij spel","Entrar num jogo","Juntar-se a um Jogo","加入游戏","加入遊戲","ゲーム参加","게임 참가","मिल कर खेले","เข้าร่วมเกม","Ônkowa","Umreži","შეურთდი თამაშს","Σύνδεση Στο Παιχνίδι","Pridruži se igri","Приєднатися","Pievienoties spēlei"
"menu_settings","Settings","Inställningar","Paramètres","Impostazioni","Einstellungen","Ajustes","Настройки","Setări","Настройки","Опции","Asetukset","Indstillinger","Innstillinger","Stillingar","Ayarlar","Nustatymai","Nastavení","Beállítások","Nastavenia","Ustawienia","Instellingen","Definições","Configurações","设置","設定","設定","설정","सेटिंग्स","ตั้งค่า","Azwatôzik","Postavke","პარამეტრები","Ρυθμίσεις","Podešavanja","Налаштування","Uzstādījumi"
"menu_credits","Credits","Utvecklare","Crédits","Crediti","Mitwirkende","Créditos","Создатели","Credite","Кредити","Кредити","Tekijät","Rulletekster","Rulletekst","Nafnalisti","Emeği geçenler","Kūrėjų sąrašas","Autoři","Készítők","Autori","Twórcy gry","Aftiteling","Créditos","Créditos","制作组","開發者名單","クレジット","제작진","श्रेय","เครดิต","Wlelômek","Zasluge","ავტორები","Τίτλοι","Zasluge","Автори","Kredīti"
"OLD menu_exit","Exit","Avsluta","Quitter","Esci","Beenden","Salir","Выход","Ieși","Изход","Излез","Poistu","Afslut","Avslutt","Hætta","Çıkış","Išeiti","Odejít","Kilépés","Odísť","Wyjście","Sluiten","Sair","Sair","出口","離開","終了","종료","बाहर जाएं","ออก","Askamosa","Izlaz","გამორთვა","Έξοδος","Izlaz","Вийти","Aizvērt spēli"
"menu_exit","Quit","Avsluta","Quitter","Esci","Beenden","Salir","Выход","Ieși","Изход","","Lopeta","Forlad","Avslutt","Hætta","Çıkış","Išeiti","Ukončit","Kilépés","Ukončiť","Wyjdź","Afsluiten","Sair","Sair","退出游戏","離開","終了","종료","बंद करें","ออกจากเกม","Askamosa","Izlaz","გამორთვა","Τερματισμός","Napusti","Вийти з гри","Aizvērt spēli"
"menu_selectcharacter","Select Character","Välj karaktär","Sélection de personnage","Seleziona personaggio","Charakter auswählen","Elegir personaje","Выбор персонажа","Alege personaj","Избери герои","Избери карактер","Valitse hahmo","Vælg Karakter","Velg karakter","Velja karakter","Karakter seçin","Pasirinkti veikėją","Zvol si postavu","Karakter kiválasztása","Výber Postavy","Wybierz postać","Personage selecteren","Selecionar personagem","Selecionar Personagem","选择角色","選擇角色","キャラクター選択","캐릭터 선택","चरित्र चयन","เลือกตัวละคร","Kagakinawa","Odaberi Lika","აირჩიეთ პერსონაჟი","Επιλογή Χαρακτήρα","Izaberi karaktera","Виберіть персонажа","Izvēlies tēlu"
"menu_back","Back","Tillbaka","Retour","Indietro","Zurück","Atrás","Назад","Înapoi","Обратно","Назад","Takaisin","Tilbage","Tilbake","Til baka","Geri","Atgal","Zpět","Vissza","Späť","Powrót","Terug","Voltar","Voltar","返回","返回","戻る","뒤로","वपिस","กลับ","Pedgi","Nazad","უკან","Επιστροφή","Nazad","Назад","Atpakaļ"
"menu_new","New","Ny","Nouveau","Nuovo","Neu","Nuevo","Новый","Nou","Ново","Нов","Uusi","Ny","Ny","Nýr","Yeni","Naujas","Vytvořit","Új","Vytvoriť","Nowa","Nieuw","Novo","Novo","新建世界","新遊戲","新","새로 생성","नया","ใหม่","Pildowi","Novi","ახალი","Νέο","Nova","Створити","Jauns"
"menu_remove","Remove","Ta bort","Supprimer","Rimuovi","Löschen","Borrar","Удалить","Șterge","Изтрий","Избриши","Poista","Fjern","Fjern","Fjarlægja","Sil","Panaikinti","Smazat","Eltávolít","Zmazať","Usuń","Verwijderen","Remover","Remover","删除","移除","削除","제거","हटाना","ลบ","Kasshipodo","Izbriši","წაშლა","Διαγραφή","Ukloni","Вилучити","Dzēst"
"menu_start","Start","Starta","Commencer","Inizia","Starten","Empezar","Начать","Începe","Старт","Започни","Aloita","Begynd","Start","Byrja","Başla","Pradėti","Začít","Indítás","Štart","Rozpocznij","Starten","Começar","Iniciar","开始","開始","スタート","시작","शुरु","เริ่ม","Môja","Započni","დაწყება","Έναρξη","Započni","Розпочати","Sākt"
